@0 B(2)
@0 B(1)
@0 B(3)
@0 M(1,159.08033560200593)
@0 M(1,164.3937913301362)
@0 B(0)
@0 M(2,143.67731437537958)
@0 M(2,94.88654354485007)
@0 M(2,143.46567831941758)
@0 M(0,130.81219338908028)
@0 M(2,102.68754742096384)
@0 M(3,18.77156581222006)
@0 M(0,172.688710974642)
@0 M(1,132.77290088004008)
@0 M(2,178.77858094686218)
@0 M(1,91.99731607018815)
@0 M(0,183.09295846170937)
@0 M(3,95.57792067207227)
@0 M(3,120.7529678737433)
@0 M(1,96.80236536804061)
@0 M(0,80.10799151184852)
@0 M(2,58.61321721203603)
@0 M(2,136.73462123371257)
@0 M(0,99.79962557193103)
@0 M(0,85.03580199178332)
@0 M(3,189.46766991510452)
@0 M(2,169.53686874069857)
@0 M(0,197.51737532974516)
@0 M(1,183.04831975792203)
@0 M(0,128.2534261399473)
@0 M(2,88.61260746915751)
@0 M(3,183.2969133571555)
@0 M(2,42.664217511269854)
@0 M(0,192.5609515383072)
@0 M(2,93.97198512226691)
@0 M(0,172.05503415190802)
@0 M(0,178.5291792624931)
@0 M(2,62.81178151948339)
@0 M(0,11.739383704051365)
@0 M(2,98.64323463980678)
@0 M(0,41.65720810877313)
@0 M(1,14.081253698983343)
@0 M(0,120.62980051525736)
@0 M(1,81.74421841945035)
@0 M(0,5.085898881301576)
@0 M(0,101.0896025331239)
@0 M(2,33.19942111337091)
@0 M(0,32.425509461914025)
@0 M(3,125.7690304986012)
@0 M(3,67.60453347021603)
@0 M(3,161.75098393082664)
@0 M(1,105.90379347305326)
@0 M(0,131.38267005841487)
@0 M(0,66.49873260753414)
@0 M(3,37.274883099373035)
@0 M(3,174.91315534287003)
@0 M(2,126.2769693844313)
@0 M(2,104.15277204583002)
@0 M(3,76.59239433944884)
@0 M(2,82.86699587803719)
@0 M(2,199.46288295830158)
@0 M(0,121.86196236572786)
@0 M(1,163.9767954813645)
@0 M(0,130.90586952201693)
@0 M(0,123.85136674335186)
@0 M(3,123.09579502526755)
@0 M(2,194.6392132651712)
@0 M(3,60.521187816588636)
@0 M(3,45.08142457535378)
@0 M(3,20.626297322799104)
@0 M(0,180.06277464298964)
@0 M(1,84.56429314400684)
@0 M(1,56.33865982615678)
@0 M(2,16.751921491836352)
@0 M(0,70.7192234898949)
@0 M(3,183.11518235255082)
@0 M(2,181.92472678050595)
@0 M(1,74.82378624854411)
@0 M(0,47.62008372036233)
@0 M(0,173.02460422305597)
@0 M(0,113.67987073096756)
@0 M(2,26.045432581983864)
@0 M(3,95.86823318580456)
@0 M(3,19.122394335234773)
@0 M(2,135.112169411119)
@0 M(3,83.1940635013841)
@0 M(0,38.25027360360194)
@0 M(1,6.322409987350208)
@0 M(3,108.0035138771956)
@0 M(1,161.26725556156902)
@0 M(2,119.85306195741727)
@0 M(2,103.50077019329743)
@0 M(0,187.9839132034142)
@0 M(3,10.074623541780547)
@0 M(1,100.61792162232206)
@0 M(1,51.13268103860462)
@0 M(1,71.57746596133414)
@0 M(1,125.9822705525488)
@0 M(0,40.51904552032808)
@0 M(0,189.25540823855692)
@0 M(1,106.33217627743376)
@0 M(2,78.41144579174728)
@0 M(1,170.625362572168)
@0 M(2,33.852215417866184)
@0 M(1,78.70764632682159)
@0 M(0,26.823096970673244)
@0 M(3,164.23812951939564)
@0 M(3,39.61407896267133)
@0 M(1,113.99138472472505)
@0 M(1,161.00042113470474)
@0 M(3,112.13129352838014)
@0 M(3,88.58468308816767)
@0 M(0,90.13380338532622)
@0 M(3,145.38694838420753)
@0 M(3,189.71597394209883)
@0 M(1,194.19051066159918)
@0 M(1,40.8411691742705)
@0 M(2,5.344228724602029)
@0 M(0,113.67858921604888)
@0 M(3,58.2948790002287)
@0 M(2,102.66604097478617)
@0 M(2,161.84604552047247)
@0 M(2,74.67970821099243)
